natureza
SERVER - NOTA FISCAL DE ENTRADA
SERVER - NÍVEL DE ACESSO SERVER
SERVER - NÍVEL DE ACESSO PDV
SERVER - NÍVEL DE ACESSO
SERVER - MUDANÇA DE IP DE REDE
SERVER - MDF-e
SERVER - MANUTENÇÃO BANCO DE DADOS
SERVER - INVENTARIO
SERVER - INUTILIZAÇÃO DE NOTA FISCAL
SERVER - GERAÇÃO XML CUPOM
SERVER - GERAÇÃO DE ARQUIVO FISCAL
SERVER - FINANCEIRO
SERVER - FECHAMENTO FISCAL
SERVER - FECHAMENTO DIÁRIO
SERVER - EXPORTAÇÃO FISCAL SPED
SERVER - EXPORTACAO FISCAL FORTES AC
SERVER - ESTOQUE TROCA
SERVER - ESTOQUE OPERAÇÃO
SERVER - ESTOQUE DEVOLUÇÃO
SERVER - DELIVERY
SERVER - CORREÇÃO DE ARQUIVO FISCAL
SERVER - CONFIGURAÇÃO DE BANCO DE DADOS
SERVER - CONFIGURAÇÃO BUSCA PREÇO
SERVER - COMUNICAÇÃO BANCO DE DADOS
SERVER - CARTA DE CORREÇÃO
SERVER - CADASTRO PRÓPRIO
SERVER - CADASTRO DE TRIBUTAÇÃO
SERVER - CADASTRO DE PRODUTOS
SERVER - CADASTRO DE PLANO DE PAGAMENTOS
SERVER - CADASTRO DE P.O.S
SERVER - CADASTRO DE IMPOSTOS FEDERAIS
SERVER - CADASTRO DE FUNCIONÁRIOS
SERVER - CADASTRO DE FORNECEDORES
SERVER - CADASTRO DE FINALIZADORA
SERVER - CADASTRO DE CLIENTES
SERVER - BACKUP
SERVER - AUDITORIA
SERVER - ALTERACAO DE PREÇO
SERVER - AJUSTE DE ESTOQUE
SERVER - ABERTURA
SERVER - 
SERVER - 
SERVER - 
SERVER - 
RELATÓRIOS
PLANTÃO DOMINGO
Pesquisa de Informação
PDV - TROCA/DEVOLUÇÃO
PDV - SUBIDA DE VENDA
PDV - ROTINA
PDV - REENVIO DE TRANSAÇÕES
PDV - REDUÇÃO Z
PDV - PARAMETRIZAÇÃO
PDV - NÍVEL DE ACESSO
PDV - NFC-E
PDV - MFE COMPARTILHADO
PDV - MFE ATUALIZAÇÃO SB
PDV - MFE
PDV - INTEGRADOR/MFE
PDV - FECHAMENTO
PDV - DIGITAÇÃO GT
PDV - CONFIGURAÇAO PIN PAD
PDV - CONFIGURAÇÃO DE BANCO DE DADOS
PDV - COMUNICAÇÃO PIN PAD
PDV - COMUNICAÇÃO
PDV - CARGA
PDV - CANCELAMENTO DE CUPOM
PDV - ABERTURA
PDV - 
PDV - 
PDV - 
PDV - 
PDV - 
PDV -
PDV -
PDV -
PDA - PRÉ VENDAS
PDA - 
PDA - 
PDA - 
PDA - 
PDA - 
PDA - 
PDA -
PDA -
PAC - Prog. de Apoio Ao Cliente
MIGRAÇÃO DE BANCO
LIGAÇÃO DE CS
LIBERAÇÃO DE CHAVE - TROCA DE CONTROLE
LIBERACAO DE CHAVE - NORMAL
LIBERAÇÃO DE CHAVE - LICENÇA TEMPORÁRIA
INSTALAÇÃO LEITOR CERTIFICADO
INFARMA - RETARGUARDA
INFARMA - PDV
IMPRESSORA FISCAL / NÃO FISCAL
HIPER- HIPER GESTÃO
HIPER- BOLETO
HIPER - SUBIDA DE VENDA
HIPER - RELATÓRIO VENDAS
HIPER - RELATÓRIO PRODUTO
HIPER - RELATÓRIO NOTA FISCAL
HIPER - RELATÓRIO MOVIMENTAÇÃO
HIPER - RELATÓRIO FINANCEIRO
HIPER - RELATÓRIO ESTOQUE
HIPER - PRÉ-VENDA
HIPER - PORTAL DO CONTADOR
HIPER - PIN PAD
HIPER - PEDIDO DE VENDA
HIPER - PDV
HIPER - PARAMETRIZAÇÃO
HIPER - NOTA FISCAL DE SAÍDA
HIPER - NOTA FISCAL DE ENTRADA
HIPER - NOTA FISCAL DE DEVOLUÇÃO
HIPER - NOTA DE ACOBERTAMENTO 
HIPER - NÍVEL DE ACESSO
HIPER - NFCe
HIPER - MFE
HIPER - MDF-e
HIPER - INVENTÁRIO
HIPER - INUTILIZAÇÃO DE NOTA FISCAL
HIPER - INTEGRADOR
HIPER - GRADE
HIPER - GERAÇÃO XML CUPOM
HIPER - GERAÇÃO DE ARQUIVO FISCAL
HIPER - FECHAMENTO
HIPER - ESTOQUE TROCA
HIPER - ESTOQUE DEVOLUÇÃO
HIPER - CORREÇÃO DE ARQUIVO FISCAL
HIPER - CONTAS A RECEBER
HIPER - CONTAS A PAGAR
HIPER - COMUNICAÇÃO
HIPER - CARTA DE CORREÇÃO
HIPER - CANCELAMENTO DE NOTA FISCAL
HIPER - CANCELAMENTO DE CUPOM
HIPER - CADASTRO PRÓPRIO
HIPER - CADASTRO FORMA DE PAGAMENTO
HIPER - CADASTRO DE TRIBUTAÇÃO
HIPER - CADASTRO DE PRODUTOS
HIPER - CADASTRO DE POS
HIPER - CADASTRO DE IMPOSTOS FEDERAIS
HIPER - CADASTRO DE FUNCIONÁRIO
HIPER - CADASTRO DE FORNECEDOR
HIPER - CADASTRO DE CLIENTE
HIPER - BANCO DE DADOS
HIPER - BACKUP
HIPER - ALTERAÇÃO DE PREÇO
HIPER - AJUSTE DE ESTOQUE
HIPER - ABERTURA
GERAL- ATENDIMENTO FORA DO HORARIO
GERAL - TRANSFERENCIA PARA OUTRO SETOR
GERAL - TRANSFERENCIA DENTRO DO SUPORTE
GERAL - REMARCAÇÃO DE VISITA
GERAL - REINSTALAÇÃO DO SISTEMA
GERAL - REDE
GERAL - RECLAMACAO
GERAL - RECADO
GERAL - POSICAO DE PENDENCIA
GERAL - PÓS IMPLANTAÇÃO
GERAL - MARCAÇÃO/SOLICITAÇÃO DE VISITA
GERAL - LIGACAO REALIZADA - (OUTROS)
GERAL - INSTALAÇÃO DO SISTEMA
GERAL - ESTUDO DOS DETRATORES
GERAL - CONFIRMAÇÃO DE VISITA
GERAL - CLIENTES SEM ATENDIMENTO
GERAL - CANCELAMENTO DE VISITA
GERAL - BANCO DE DADOS
GERAL - ATUALIZAÇÃO
GERAL - ATENDIMENTO PROATIVO
GERAL - ATENDIMENTO NÃO REALIZADO
GERAL - A RETORNAR
ESTOQUE
EQUIPAMENTO- COLETOR DE DADOS
EQUIPAMENTO - TERMINAL DE CONSULTA
EQUIPAMENTO - SITEF COMUNICAÇÃO
EQUIPAMENTO - REP MARQUE PONTO GERTEC
EQUIPAMENTO - PIN PAD
EQUIPAMENTO - LEITOR
EQUIPAMENTO - INSTALAÇÃO MGV5
EQUIPAMENTO - IMPRESSORA MATRICIAL
EQUIPAMENTO - IMPRESSORA ETIQUETA
EQUIPAMENTO - IMPRESSORA ETHERNET(REDE)
EQUIPAMENTO - IMPRESSORA DE COMANDA
EQUIPAMENTO - GAVETA
EQUIPAMENTO - ECFS
EQUIPAMENTO - CONFIGURAÇÃO MGV5
EQUIPAMENTO - COMPUTADOR
EQUIPAMENTO - CERTIFICADO
EQUIPAMENTO - BALANÇA
EASY - RELATÓRIOS DE VENDAS
EASY - MUDANÇA DE IP DE REDE
EASY - MANUTENÇÃO DE BANCO 
EASY - EASYASSIST WEB
EASY - EAPOS
EASY - EA TA
EASY - EA RETAGUARDA
EASY - EA REPLICADOR
EASY - EA PRINTERSPOOL
EASY - EA PDV
EASY - EA KDS
EASY - EA INTEGRADOR
EASY - EA GUARDIAN
EASY - EA GARCON
EASY - EA DISPMOVEL SERVER
EASY - EA DELIVERY
EASY - EA CLIENTE
EASY - COMUNICAÇÃO
EASY - CAPTURA DE GT
EASY - ABERTURA
EASY - 
EASY - 
EASY - 
EASY - 
EASY - 
EASY - 
EASY -
EASY -
DIGISAT-
COTAMIX
CONTINUAÇÃO DE SETUP
COMUNICAÇÃO DISPOSITIVO MÓVEL
CAIXA
CADASTRO DE PRODUTO
APP VAREJO FACIL
APP SYSPDV MOBILE
AÇÃO CS
